Frame,only_minor_groove,only_major_groove,only_dna_backbone,only_dna,only_gap,only_histone_tail,only_histone_core,only_acidic_patch,only_acidic_residues,only_histone,interface,binding_ions,unbinding_ions
2500,12,16,24,51,7,0,2,0,2,2,4,57,131
2525,13,18,21,51,7,0,4,0,3,4,4,59,129
2550,13,15,21,48,9,0,2,0,2,2,5,55,133
2575,13,13,26,52,11,0,1,0,1,1,5,58,130
2600,12,13,26,52,10,0,2,0,1,2,3,57,131
2625,11,12,26,49,11,0,2,0,2,2,5,56,132
2650,13,13,25,51,11,0,3,0,2,3,4,58,130
2675,14,14,20,48,9,0,4,0,4,4,5,57,131
2700,16,15,19,50,11,0,2,0,2,2,4,56,132
2725,14,17,20,51,11,1,2,0,1,3,1,55,133
2750,13,14,24,51,11,1,2,0,2,3,3,57,131
2775,11,14,23,48,12,0,2,0,1,2,5,55,133
2800,12,15,19,46,12,0,2,0,1,2,4,52,136
2825,11,15,20,46,12,0,2,0,1,2,5,53,135
2850,12,13,24,49,13,0,4,0,3,4,4,57,131
2875,11,13,22,46,12,0,1,0,1,1,7,54,134
2900,10,16,24,50,8,0,2,0,2,2,6,58,130
2925,9,14,25,47,9,1,3,0,2,3,6,56,132
2950,9,16,21,46,11,2,2,0,2,4,8,58,130
2975,9,14,23,45,13,1,3,0,2,4,6,55,133
3000,10,18,21,49,11,0,2,0,1,2,6,57,131
3025,11,18,17,46,11,0,2,0,1,2,6,54,134
3050,11,17,21,49,11,0,3,0,1,3,4,56,132
3075,9,16,20,45,11,0,3,1,2,3,6,54,134
3100,9,16,24,49,11,0,3,1,1,3,5,57,131
3125,9,14,18,41,13,1,3,1,2,4,8,53,135
3150,9,17,18,44,11,0,4,1,2,4,8,56,132
3175,8,19,22,49,12,0,5,1,2,5,6,60,128
3200,8,17,22,47,14,0,3,2,3,3,9,59,129
3225,9,19,20,48,13,2,5,2,4,7,6,61,127
3250,8,18,21,47,13,3,4,2,5,7,7,61,127
3275,8,16,23,47,12,3,7,2,7,10,6,63,125
3300,7,21,22,50,11,1,5,2,5,6,7,63,125
3325,7,21,22,50,13,3,4,2,5,7,6,63,125
3350,9,19,17,45,13,1,4,2,4,5,8,58,130
3375,7,18,22,47,15,0,5,2,3,5,6,58,130
3400,7,20,20,47,13,1,5,2,4,6,8,61,127
3425,7,19,23,48,11,1,5,2,3,6,9,63,125
3450,6,21,23,50,13,0,5,2,3,5,9,64,124
3475,6,20,23,49,12,0,5,2,3,5,7,61,127
