Frame,only_minor_groove,only_major_groove,only_dna_backbone,only_dna,only_gap,only_histone_tail,only_histone_core,only_acidic_patch,only_acidic_residues,only_histone,interface,binding_ions,unbinding_ions
2500,8,11,26,45,5,1,1,1,2,2,8,55,133
2525,8,9,27,44,7,1,4,1,3,5,8,57,131
2550,9,10,24,43,7,1,3,1,3,4,7,54,134
2575,8,6,25,39,8,1,3,1,3,4,9,52,136
2600,11,8,28,47,9,1,4,1,3,5,6,58,130
2625,11,9,28,48,7,1,3,1,3,4,7,59,129
2650,12,7,26,45,5,2,4,1,4,6,7,58,130
2675,11,11,25,47,12,1,3,1,3,4,8,59,129
2700,11,10,23,44,11,1,3,1,3,4,8,56,132
2725,10,8,29,47,13,3,4,1,5,7,6,60,128
2750,9,12,22,43,14,1,3,1,3,4,11,58,130
2775,9,9,30,48,15,3,5,1,5,8,10,66,122
2800,9,8,29,46,13,1,6,1,5,7,10,63,125
2825,8,11,27,46,14,0,4,1,3,4,12,62,126
2850,9,11,22,42,15,3,5,1,6,7,9,58,130
2875,7,10,24,41,12,2,4,1,5,6,11,58,130
2900,9,11,26,46,13,2,3,1,4,5,9,60,128
2925,8,9,28,45,12,3,7,1,7,10,6,61,127
2950,7,12,26,45,13,2,5,1,5,7,10,62,126
2975,8,12,26,46,15,1,6,1,5,7,9,62,126
3000,9,9,25,44,12,1,5,1,4,6,10,60,128
3025,9,11,26,46,12,1,6,1,5,7,10,63,125
3050,8,13,23,44,14,2,7,2,6,9,8,61,127
3075,8,14,22,43,17,2,6,2,6,8,9,60,128
3100,7,13,25,44,15,2,5,2,5,7,12,63,125
3125,8,15,27,50,13,1,6,2,6,7,9,66,122
3150,5,13,27,45,14,1,6,2,5,7,10,62,126
3175,6,14,26,46,14,1,5,2,6,6,12,64,124
3200,7,13,23,43,14,2,7,2,6,9,10,62,126
3225,6,16,27,49,14,2,5,2,4,7,10,66,122
3250,6,14,26,46,14,3,8,2,8,11,9,66,122
3275,5,12,27,44,12,1,8,2,6,9,11,64,124
3300,4,14,23,41,15,1,8,3,6,9,11,61,127
3325,5,14,24,43,16,1,8,4,6,9,14,66,122
3350,6,15,21,42,14,1,9,4,7,10,13,65,123
3375,8,12,24,44,13,1,9,4,7,10,14,68,120
3400,8,14,22,44,15,1,9,4,7,10,13,67,121
3425,8,16,25,49,15,1,7,4,7,8,11,68,120
3450,7,15,27,49,12,1,8,4,7,9,9,67,121
3475,6,16,21,43,13,3,9,4,7,12,10,65,123
3500,7,15,21,43,13,3,11,4,9,14,6,63,125
3525,8,16,19,43,12,2,9,4,9,11,10,64,124
3550,8,14,22,44,14,2,7,4,7,9,13,66,122
3575,8,14,21,44,14,3,10,4,10,13,7,64,124
3600,8,12,21,41,14,3,10,4,10,13,9,63,125
3625,7,13,27,47,15,4,10,4,10,14,6,67,121
3650,8,12,25,45,13,4,9,4,10,13,8,66,122
3675,9,15,22,46,12,3,12,4,11,15,6,67,121
3700,9,13,20,43,15,4,10,4,10,14,10,67,121
3725,9,14,23,46,13,4,10,3,10,14,7,67,121
3750,10,14,24,48,13,4,8,4,9,12,9,69,119
3775,8,18,22,48,13,3,8,3,8,11,8,67,121
3800,7,15,25,47,13,3,10,4,10,13,7,67,121
3825,6,14,29,50,13,3,10,4,11,13,6,69,119
3850,7,13,28,48,12,3,10,3,11,13,6,67,121
3875,5,15,22,42,14,2,9,3,8,11,8,61,127
3900,7,14,25,46,14,3,11,4,11,14,8,68,120
3925,7,13,26,46,15,2,9,4,9,11,11,68,120
3950,7,12,28,47,14,3,11,4,10,14,9,70,118
3975,6,14,26,46,16,3,9,3,9,12,9,67,121
4000,8,13,26,46,16,3,9,4,9,12,9,67,121
4025,9,12,25,46,18,3,10,4,10,13,9,68,120
4050,10,12,23,45,15,3,10,4,11,13,9,67,121
4075,9,14,19,43,15,4,11,4,11,15,7,65,123
4100,11,15,16,42,12,4,10,4,11,14,8,64,124
4125,11,13,21,45,13,5,10,4,12,15,6,66,122
4150,9,11,23,44,14,5,10,4,12,15,8,67,121
4175,9,14,23,46,11,3,9,4,10,12,9,67,121
4200,8,13,24,45,12,3,10,3,10,13,6,64,124
4225,8,15,25,49,11,3,9,4,9,12,10,71,117
4250,8,13,25,47,13,3,10,4,10,13,10,70,118
4275,9,15,23,47,13,3,11,4,11,14,7,68,120
4300,9,15,22,46,10,4,8,3,11,12,9,67,121
4325,9,13,27,49,14,3,8,3,10,11,9,69,119
4350,8,12,28,48,14,3,7,4,8,10,10,68,120
4375,7,13,31,51,14,2,8,3,8,10,9,70,118
4400,6,14,29,49,14,2,8,3,9,10,11,70,118
4425,6,13,27,46,14,2,7,4,7,9,11,66,122
4450,7,15,26,49,13,3,8,4,8,11,10,70,118
4475,7,12,30,49,13,3,8,4,8,11,9,69,119
4500,8,14,28,50,15,2,9,4,9,11,7,68,120
4525,7,14,30,51,14,5,8,4,9,12,7,70,118
4550,7,14,29,50,13,2,9,4,9,11,10,71,117
4575,8,14,28,50,13,3,9,3,9,12,9,71,117
4600,9,13,29,51,12,2,9,4,9,11,9,71,117
4625,8,15,25,48,13,2,8,4,8,10,9,67,121
4650,10,14,27,51,15,1,8,3,7,9,12,72,116
4675,8,12,28,48,16,2,8,4,7,10,11,69,119
4700,9,10,23,43,16,2,10,4,9,12,11,66,122
4725,10,12,27,49,16,1,7,4,7,8,13,70,118
4750,9,10,31,50,16,1,9,3,7,10,12,72,116
4775,10,12,30,52,14,2,8,4,7,10,10,72,116
4800,8,13,28,50,12,3,9,4,9,12,9,71,117
4825,10,13,28,51,15,3,8,4,9,11,10,72,116
4850,7,12,27,47,14,4,10,4,7,14,9,70,118
4875,9,13,25,47,11,2,10,4,9,12,11,70,118
4900,9,12,30,52,14,0,10,4,8,10,11,73,115
4925,9,13,29,51,13,2,8,3,8,10,11,72,116
4950,10,14,28,52,11,2,10,3,7,12,10,74,114
4975,12,13,23,49,11,3,12,4,11,15,7,71,117
5000,12,13,24,49,12,3,12,3,9,15,6,70,118
5025,11,14,25,50,13,3,11,3,10,14,6,70,118
5050,12,14,25,50,11,2,11,4,9,13,7,70,118
5075,9,13,25,47,9,2,10,4,8,12,11,70,118
5100,13,13,25,51,7,2,10,4,9,12,11,74,114
5125,13,16,20,49,7,2,12,4,9,14,7,70,118
5150,12,15,19,45,11,2,10,4,9,12,11,68,120
5175,12,16,20,48,9,2,12,4,10,14,7,69,119
5200,12,19,20,51,12,2,12,4,8,13,7,71,117
5225,11,16,21,48,10,3,13,4,11,16,4,68,120
5250,11,20,18,49,8,0,8,4,7,8,14,71,117
5275,10,15,19,44,6,1,10,4,9,11,12,67,121
5300,10,14,19,43,12,1,10,5,9,11,13,67,121
5325,11,14,20,45,7,2,12,5,11,13,8,66,122
5350,11,11,22,44,8,2,11,4,9,13,12,69,119
5375,13,13,21,47,11,1,9,4,8,10,12,69,119
5400,9,11,26,47,11,2,13,4,10,15,9,71,117
5425,9,11,27,47,9,2,10,4,8,12,10,69,119
5450,11,12,19,42,9,1,10,4,7,11,12,65,123
5475,10,11,20,42,9,3,7,3,6,10,15,67,121
5500,10,14,21,45,8,1,9,3,8,10,12,67,121
5525,11,12,23,46,14,2,10,4,8,12,10,68,120
5550,11,11,22,44,10,1,10,4,10,11,13,68,120
5575,10,11,25,46,12,1,10,4,10,11,12,69,119
5600,9,13,28,50,12,1,8,4,8,9,12,71,117
5625,10,13,21,44,12,1,9,3,9,10,12,66,122
5650,10,12,21,43,11,2,9,4,9,11,11,65,123
5675,9,12,25,46,12,1,8,4,8,9,12,67,121
5700,8,11,26,45,13,2,10,4,8,11,11,67,121
5725,9,8,30,47,11,1,10,4,10,11,12,70,118
5750,10,10,26,46,9,1,9,3,9,10,12,68,120
5775,12,11,24,47,11,1,9,3,10,10,12,69,119
5800,11,13,19,43,10,1,11,4,11,12,12,67,121
5825,9,11,23,43,11,1,11,3,10,12,12,67,121
5850,12,7,22,41,9,3,13,4,11,15,11,67,121
5875,11,10,24,45,9,2,12,4,11,14,10,69,119
5900,11,12,24,47,8,2,11,4,11,13,9,69,119
5925,9,14,24,47,12,3,12,4,12,15,10,72,116
5950,9,10,26,45,11,2,10,4,10,12,11,68,120
5975,9,13,22,46,10,2,8,3,9,10,12,68,120
6000,9,13,22,45,11,2,8,3,8,10,14,69,119
6025,10,14,20,44,10,2,9,3,8,11,13,68,120
6050,10,13,18,42,13,3,9,3,10,12,13,67,121
6075,10,13,22,45,10,2,8,3,9,10,13,68,120
6100,11,14,20,45,9,1,7,4,8,8,15,68,120
6125,11,13,21,44,10,2,7,4,9,9,16,69,119
6150,11,12,23,46,12,2,9,3,8,11,12,69,119
6175,14,13,23,50,12,2,10,3,9,12,10,72,116
6200,14,13,17,44,11,1,10,3,9,11,13,68,120
6225,13,14,20,47,12,2,9,3,9,11,13,71,117
6250,12,12,17,41,13,2,11,3,9,13,15,69,119
6275,11,13,19,43,12,2,10,3,8,12,15,70,118
6300,13,14,18,45,12,1,10,3,8,11,14,70,118
6325,12,12,20,44,9,2,9,3,8,11,14,69,119
6350,12,12,20,44,9,3,8,3,10,11,13,68,120
6375,11,10,19,40,13,3,9,3,10,12,14,66,122
6400,13,10,19,42,10,4,10,3,10,14,10,66,122
6425,14,11,19,44,11,3,10,3,9,13,9,66,122
6450,12,16,19,47,10,4,10,3,11,14,9,70,118
6475,10,14,23,47,11,4,10,3,9,14,10,71,117
6500,12,16,19,48,7,2,10,3,8,12,10,70,118
6525,12,14,15,42,11,3,12,3,11,15,8,65,123
6550,12,14,18,44,11,2,11,3,10,13,11,68,120
6575,15,16,14,45,11,2,11,5,9,13,12,70,118
6600,10,16,21,48,10,4,10,3,11,14,9,71,117
6625,12,13,20,45,12,4,9,3,11,13,11,69,119
6650,14,13,21,48,10,3,12,3,11,15,9,72,116
6675,14,14,19,47,10,2,13,3,10,15,9,71,117
6700,9,15,21,45,8,2,12,4,9,14,12,71,117
6725,11,14,19,44,9,4,11,3,10,15,11,70,118
6750,11,14,18,43,9,3,10,3,9,13,11,67,121
6775,11,14,21,46,8,2,10,4,7,12,11,69,119
6800,12,14,22,48,7,3,11,3,9,14,9,71,117
6825,9,14,23,46,5,4,11,3,10,15,8,69,119
6850,13,14,18,45,9,4,10,3,9,14,11,70,118
6875,10,14,18,42,9,4,10,3,10,14,11,67,121
6900,11,15,19,45,7,5,10,3,11,15,9,69,119
6925,11,15,17,43,7,4,11,4,10,15,10,68,120
6950,10,16,21,47,8,3,11,3,9,13,12,72,116
6975,9,13,22,44,7,5,12,4,10,17,10,71,117
7000,8,12,24,44,10,4,11,3,10,15,12,71,117
7025,11,13,16,40,5,4,12,3,10,16,10,66,122
7050,11,16,13,40,5,3,12,4,11,15,13,68,120
7075,9,14,16,40,5,3,12,4,11,15,13,68,120
7100,9,13,22,45,6,3,11,3,10,14,12,71,117
7125,10,12,21,43,8,3,11,4,10,14,12,69,119
7150,11,16,18,45,7,3,11,3,10,14,11,70,118
7175,12,14,19,46,7,3,12,4,10,15,11,72,116
7200,12,12,19,43,7,3,11,4,10,14,12,69,119
7225,11,12,21,44,9,4,12,4,10,16,11,71,117
7250,11,11,17,39,11,3,10,4,10,13,14,66,122
7275,12,15,13,40,12,3,11,4,10,14,12,66,122
7300,11,12,19,42,9,3,11,4,10,14,11,67,121
7325,11,10,20,41,10,4,11,4,11,15,13,69,119
7350,10,12,18,40,13,3,12,4,11,15,14,69,119
7375,10,12,21,43,10,3,11,4,10,14,14,71,117
7400,9,13,17,39,14,4,12,4,11,16,14,69,119
7425,8,10,25,43,12,3,10,4,10,13,14,70,118
7450,9,8,22,40,13,3,9,3,9,12,18,70,118
7475,9,10,25,44,15,3,10,4,9,13,14,71,117
7500,8,10,25,43,14,4,13,4,12,17,10,70,118
7525,8,10,25,43,13,2,11,4,10,13,15,71,117
7550,10,12,20,42,13,3,14,4,15,17,13,72,116
7575,9,10,20,40,13,4,13,4,14,17,14,71,117
7600,7,11,23,42,14,3,10,4,12,13,15,70,118
7625,7,10,26,43,15,3,11,4,11,14,14,71,117
7650,9,10,22,41,13,4,13,4,13,16,13,70,118
7675,10,11,18,39,16,3,11,4,13,14,16,69,119
7700,11,10,22,43,14,4,12,3,13,16,12,71,117
7725,10,9,25,45,17,3,11,4,12,14,14,73,115
7750,10,11,20,41,18,3,12,3,14,15,15,71,117
7775,10,12,21,44,15,4,12,4,14,16,16,76,112
7800,9,12,20,42,14,4,12,4,14,16,17,75,113
7825,6,8,27,43,17,3,14,4,14,17,16,76,112
7850,8,9,18,35,16,4,12,4,14,16,20,71,117
7875,9,9,20,38,15,3,12,4,13,15,18,71,117
7900,8,8,19,35,16,3,13,3,13,16,19,70,118
7925,8,9,19,36,13,3,13,3,13,16,19,71,117
7950,8,6,19,33,16,4,16,4,16,20,15,68,120
7975,8,9,20,37,14,5,13,3,14,18,16,71,117
8000,9,8,20,37,17,3,13,3,14,16,20,73,115
8025,7,8,24,39,17,4,14,3,15,17,17,73,115
8050,5,9,25,39,16,3,14,3,14,16,19,74,114
8075,5,9,25,39,18,3,13,3,14,15,20,74,114
8100,6,9,24,39,17,4,15,4,16,18,18,75,113
8125,6,10,22,38,17,4,14,4,16,17,18,73,115
8150,6,10,24,40,17,4,13,4,14,17,17,74,114
8175,5,9,28,42,15,4,14,4,16,17,16,75,113
8200,5,8,28,41,16,5,15,4,15,19,13,73,115
8225,6,10,21,37,16,6,12,3,14,17,20,74,114
8250,5,10,21,36,15,7,15,4,15,21,17,74,114
8275,6,10,21,37,15,4,14,4,15,18,20,75,113
8300,5,9,27,41,15,4,14,3,15,17,18,76,112
8325,5,10,25,40,15,5,13,4,15,17,18,75,113
8350,6,10,27,43,15,4,13,4,15,17,16,76,112
8375,7,9,28,44,16,3,13,4,14,16,17,77,111
8400,7,9,26,42,14,3,13,4,13,16,20,78,110
8425,7,11,28,46,16,4,12,4,12,14,16,76,112
8450,9,11,25,45,15,4,14,4,13,16,16,77,111
8475,9,14,22,45,12,3,12,4,13,15,18,78,110
8500,8,15,23,46,12,3,14,3,14,16,17,79,109
8525,8,10,26,44,9,2,12,4,12,14,18,76,112
8550,8,14,22,44,11,3,12,4,14,15,18,77,111
8575,8,15,23,46,10,4,14,3,14,17,14,77,111
8600,9,13,25,47,10,4,13,4,14,16,16,79,109
8625,11,15,18,44,12,3,12,4,14,15,16,75,113
8650,10,14,16,40,12,5,12,4,15,16,16,72,116
8675,9,13,19,41,11,6,13,4,18,18,15,74,114
8700,9,13,16,38,13,3,12,4,15,15,19,72,116
8725,9,14,19,42,12,2,13,4,15,15,15,72,116
8750,9,12,18,39,11,4,11,3,15,15,17,71,117
8775,10,13,17,40,12,5,11,4,16,16,16,72,116
8800,7,16,18,41,12,5,12,4,16,16,14,71,117
8825,8,13,21,42,12,3,10,4,13,13,17,72,116
8850,10,12,18,40,14,4,11,4,15,15,16,71,117
8875,10,13,18,41,12,5,14,3,17,19,11,71,117
8900,9,13,18,41,14,4,14,4,16,18,13,72,116
8925,9,13,17,40,13,5,12,4,15,17,14,71,117
8950,10,13,17,40,14,5,13,4,15,18,14,72,116
8975,11,14,16,41,14,4,13,4,15,17,16,74,114
9000,10,13,18,43,13,4,12,3,14,16,16,75,113
9025,10,12,18,40,14,1,12,4,12,13,19,72,116
9050,9,13,22,45,15,2,13,4,13,15,16,76,112
9075,9,12,24,45,16,2,12,3,13,14,17,76,112
9100,6,14,25,45,16,1,11,3,11,12,18,75,113
9125,8,12,18,38,13,2,15,4,15,17,16,71,117
9150,9,13,19,41,13,2,14,4,14,16,15,72,116
9175,7,11,25,43,14,2,12,4,13,14,16,73,115
9200,10,13,21,44,13,4,13,3,15,17,13,74,114
9225,8,14,24,45,14,2,15,3,14,17,13,75,113
9250,7,11,26,44,15,4,14,3,16,18,15,77,111
9275,8,17,21,46,12,6,14,4,18,20,11,77,111
9300,9,13,24,46,13,3,14,4,15,17,14,77,111
9325,9,13,23,45,13,3,12,4,14,15,17,77,111
9350,8,11,23,42,12,4,13,4,15,17,15,74,114
9375,8,12,20,40,15,3,15,4,14,18,15,73,115
9400,8,14,18,40,14,4,14,4,14,18,16,74,114
9425,8,15,19,42,13,2,13,4,12,15,17,74,114
9450,6,17,22,45,12,1,13,4,11,14,17,76,112
9475,6,15,24,45,14,1,13,4,11,14,17,76,112
9500,7,16,21,44,14,1,14,4,11,15,17,76,112
9525,7,14,20,42,14,1,13,4,11,14,20,76,112
9550,7,14,23,44,14,1,15,4,13,16,18,78,110
9575,7,15,23,45,14,1,15,4,13,16,18,79,109
9600,5,13,25,43,15,1,16,4,14,17,17,77,111
9625,7,14,23,44,15,3,15,4,14,18,16,78,110
9650,7,16,22,45,15,1,15,4,13,16,19,80,108
9675,6,13,24,43,15,2,14,4,13,16,19,78,110
9700,6,13,24,43,14,2,14,4,13,16,19,78,110
9725,5,15,26,46,16,3,14,4,14,17,17,80,108
9750,5,13,25,43,14,1,15,4,13,16,17,76,112
9775,5,13,26,44,16,2,14,4,14,16,17,77,111
9800,6,11,24,41,17,1,15,4,14,16,17,74,114
9825,6,12,23,41,17,1,15,4,15,16,18,75,113
9850,5,13,20,39,17,0,16,4,14,16,22,77,111
9875,7,12,22,41,17,3,15,4,15,18,18,77,111
9900,5,15,19,39,19,2,15,4,14,17,17,73,115
9925,6,15,21,42,14,1,16,4,14,17,15,74,114
9950,6,15,17,38,17,3,15,4,15,18,17,73,115
9975,6,12,20,38,18,2,14,4,13,16,21,75,113
10000,5,12,18,35,17,3,16,4,14,19,20,74,114
10025,5,12,21,38,19,3,14,4,14,17,18,73,115
10050,5,11,24,40,20,0,15,4,13,15,20,75,113
10075,4,11,21,36,17,0,14,4,13,14,24,74,114
10100,5,13,24,43,17,1,16,4,14,17,15,75,113
10125,5,11,22,38,18,2,15,4,14,17,15,70,118
10150,4,11,23,38,17,4,16,4,17,20,15,73,115
