H2A_N,399
H2A_N,399
H2A_N,399
H2A_N,284
H2A_N,13
H2A_N,86
H2A_N,399
H2A_N,399
H2A_C,18
H2A_C,11
H2A_C,30
H2A_C,20
H2A_C,36
H2A_C,10
H2A_C,18
H2A_C,17
H2A_C,27
H2A_C,21
H2A_C,10
H2A_C,22
H2A_C,253
H2A_C,14
H2A_C,399
H2A_C,10
H2A_C,252
H2A_C,37
H2A_C,12
H2A_C,12
H2B,21
H2B,18
H2B,103
H2B,200
H2B,15
H2B,52
H2B,254
H2B,11
H2B,16
H2B,56
H2B,13
H2B,142
H2B,178
H2B,41
H2B,356
H2B,13
H2B,22
H2B,16
H2B,55
H2B,243
H2B,110
H2B,24
H2B,251
H3,399
H3,399
H3,399
H3,399
H3,10
H3,16
H3,334
H3,399
H4,399
H4,13
H4,15
H4,231
H4,96
H4,399
H4,58
H4,340
H4,399
H4,399
