H2A_N,399
H2A_N,399
H2A_N,399
H2A_N,399
H2A_N,259
H2A_N,25
H2A_N,113
H2A_N,399
H2A_C,136
H2A_C,93
H2A_C,168
H2A_C,114
H2A_C,279
H2A_C,10
H2A_C,11
H2A_C,203
H2A_C,83
H2A_C,23
H2A_C,134
H2A_C,102
H2A_C,11
H2A_C,14
H2A_C,11
H2A_C,114
H2A_C,227
H2A_C,399
H2B,21
H2B,11
H2B,31
H2B,37
H2B,139
H2B,133
H2B,45
H2B,197
H2B,10
H2B,20
H2B,67
H2B,102
H2B,49
H2B,11
H2B,58
H2B,33
H2B,24
H2B,399
H2B,234
H2B,29
H2B,134
H2B,327
H2B,38
H2B,21
H3,399
H3,114
H3,222
H3,22
H3,373
H3,14
H3,21
H3,11
H3,344
H3,399
H3,399
H4,13
H4,10
H4,33
H4,144
H4,119
H4,52
H4,399
H4,50
H4,27
H4,99
H4,55
H4,19
H4,62
H4,56
H4,341
H4,70
H4,328
H4,399
