Frame,System,Number 
0,NaCl_1264_wo_rw_run1,0
1,NaCl_1264_wo_rw_run1,0
2,NaCl_1264_wo_rw_run1,5
3,NaCl_1264_wo_rw_run1,6
4,NaCl_1264_wo_rw_run1,0
5,NaCl_1264_wo_rw_run1,1
6,NaCl_1264_wo_rw_run1,0
7,NaCl_1264_wo_rw_run1,5
8,NaCl_1264_wo_rw_run1,10
9,NaCl_1264_wo_rw_run1,0
10,NaCl_1264_wo_rw_run1,0
11,NaCl_1264_wo_rw_run1,3
12,NaCl_1264_wo_rw_run1,5
13,NaCl_1264_wo_rw_run1,9
14,NaCl_1264_wo_rw_run1,9
15,NaCl_1264_wo_rw_run1,7
16,NaCl_1264_wo_rw_run1,6
17,NaCl_1264_wo_rw_run1,4
18,NaCl_1264_wo_rw_run1,0
19,NaCl_1264_wo_rw_run1,5
20,NaCl_1264_wo_rw_run1,2
21,NaCl_1264_wo_rw_run1,1
22,NaCl_1264_wo_rw_run1,0
23,NaCl_1264_wo_rw_run1,0
24,NaCl_1264_wo_rw_run1,1
25,NaCl_1264_wo_rw_run1,0
26,NaCl_1264_wo_rw_run1,0
27,NaCl_1264_wo_rw_run1,0
28,NaCl_1264_wo_rw_run1,0
29,NaCl_1264_wo_rw_run1,0
30,NaCl_1264_wo_rw_run1,0
31,NaCl_1264_wo_rw_run1,0
32,NaCl_1264_wo_rw_run1,0
33,NaCl_1264_wo_rw_run1,0
34,NaCl_1264_wo_rw_run1,0
35,NaCl_1264_wo_rw_run1,0
36,NaCl_1264_wo_rw_run1,0
37,NaCl_1264_wo_rw_run1,0
38,NaCl_1264_wo_rw_run1,0
39,NaCl_1264_wo_rw_run1,0
40,NaCl_1264_wo_rw_run1,0
41,NaCl_1264_wo_rw_run1,0
42,NaCl_1264_wo_rw_run1,0
43,NaCl_1264_wo_rw_run1,0
44,NaCl_1264_wo_rw_run1,0
45,NaCl_1264_wo_rw_run1,0
46,NaCl_1264_wo_rw_run1,0
