Frame,System,Number
0,NaCl_1264_wo_rw_run3,0
1,NaCl_1264_wo_rw_run3,0
2,NaCl_1264_wo_rw_run3,0
3,NaCl_1264_wo_rw_run3,0
4,NaCl_1264_wo_rw_run3,0
5,NaCl_1264_wo_rw_run3,0
6,NaCl_1264_wo_rw_run3,4
7,NaCl_1264_wo_rw_run3,4
8,NaCl_1264_wo_rw_run3,8
9,NaCl_1264_wo_rw_run3,6
10,NaCl_1264_wo_rw_run3,4
11,NaCl_1264_wo_rw_run3,5
12,NaCl_1264_wo_rw_run3,6
13,NaCl_1264_wo_rw_run3,6
14,NaCl_1264_wo_rw_run3,15
15,NaCl_1264_wo_rw_run3,10
16,NaCl_1264_wo_rw_run3,9
17,NaCl_1264_wo_rw_run3,12
18,NaCl_1264_wo_rw_run3,7
19,NaCl_1264_wo_rw_run3,7
20,NaCl_1264_wo_rw_run3,5
21,NaCl_1264_wo_rw_run3,8
22,NaCl_1264_wo_rw_run3,9
23,NaCl_1264_wo_rw_run3,7
24,NaCl_1264_wo_rw_run3,19
25,NaCl_1264_wo_rw_run3,9
26,NaCl_1264_wo_rw_run3,5
27,NaCl_1264_wo_rw_run3,7
28,NaCl_1264_wo_rw_run3,11
29,NaCl_1264_wo_rw_run3,5
30,NaCl_1264_wo_rw_run3,0
31,NaCl_1264_wo_rw_run3,9
32,NaCl_1264_wo_rw_run3,15
33,NaCl_1264_wo_rw_run3,0
34,NaCl_1264_wo_rw_run3,10
35,NaCl_1264_wo_rw_run3,10
36,NaCl_1264_wo_rw_run3,6
37,NaCl_1264_wo_rw_run3,7
38,NaCl_1264_wo_rw_run3,7
39,NaCl_1264_wo_rw_run3,10
40,NaCl_1264_wo_rw_run3,9
41,NaCl_1264_wo_rw_run3,6
42,NaCl_1264_wo_rw_run3,10
43,NaCl_1264_wo_rw_run3,0
44,NaCl_1264_wo_rw_run3,4
45,NaCl_1264_wo_rw_run3,9
46,NaCl_1264_wo_rw_run3,4
47,NaCl_1264_wo_rw_run3,1
48,NaCl_1264_wo_rw_run3,8
49,NaCl_1264_wo_rw_run3,5
