Frame,System,Number
0,MG_15mM_1264_wo_rw_run1,0
1,MG_15mM_1264_wo_rw_run1,0
2,MG_15mM_1264_wo_rw_run1,0
3,MG_15mM_1264_wo_rw_run1,0
4,MG_15mM_1264_wo_rw_run1,0
5,MG_15mM_1264_wo_rw_run1,5
6,MG_15mM_1264_wo_rw_run1,0
7,MG_15mM_1264_wo_rw_run1,0
8,MG_15mM_1264_wo_rw_run1,4
9,MG_15mM_1264_wo_rw_run1,1
10,MG_15mM_1264_wo_rw_run1,0
11,MG_15mM_1264_wo_rw_run1,0
12,MG_15mM_1264_wo_rw_run1,0
13,MG_15mM_1264_wo_rw_run1,0
14,MG_15mM_1264_wo_rw_run1,0
15,MG_15mM_1264_wo_rw_run1,0
16,MG_15mM_1264_wo_rw_run1,0
17,MG_15mM_1264_wo_rw_run1,0
18,MG_15mM_1264_wo_rw_run1,0
19,MG_15mM_1264_wo_rw_run1,0
20,MG_15mM_1264_wo_rw_run1,0
21,MG_15mM_1264_wo_rw_run1,0
22,MG_15mM_1264_wo_rw_run1,0
23,MG_15mM_1264_wo_rw_run1,0
24,MG_15mM_1264_wo_rw_run1,0
25,MG_15mM_1264_wo_rw_run1,8
26,MG_15mM_1264_wo_rw_run1,1
27,MG_15mM_1264_wo_rw_run1,1
28,MG_15mM_1264_wo_rw_run1,7
29,MG_15mM_1264_wo_rw_run1,0
30,MG_15mM_1264_wo_rw_run1,1
31,MG_15mM_1264_wo_rw_run1,0
32,MG_15mM_1264_wo_rw_run1,0
33,MG_15mM_1264_wo_rw_run1,0
34,MG_15mM_1264_wo_rw_run1,1
35,MG_15mM_1264_wo_rw_run1,1
36,MG_15mM_1264_wo_rw_run1,1
37,MG_15mM_1264_wo_rw_run1,0
38,MG_15mM_1264_wo_rw_run1,1
39,MG_15mM_1264_wo_rw_run1,1
40,MG_15mM_1264_wo_rw_run1,1
41,MG_15mM_1264_wo_rw_run1,0
42,MG_15mM_1264_wo_rw_run1,0
43,MG_15mM_1264_wo_rw_run1,0
44,MG_15mM_1264_wo_rw_run1,0
45,MG_15mM_1264_wo_rw_run1,0
46,MG_15mM_1264_wo_rw_run1,1
47,MG_15mM_1264_wo_rw_run1,1
48,MG_15mM_1264_wo_rw_run1,1
49,MG_15mM_1264_wo_rw_run1,2
50,MG_15mM_1264_wo_rw_run1,0
51,MG_15mM_1264_wo_rw_run1,0
52,MG_15mM_1264_wo_rw_run1,0
53,MG_15mM_1264_wo_rw_run1,0
54,MG_15mM_1264_wo_rw_run1,0
55,MG_15mM_1264_wo_rw_run1,0
56,MG_15mM_1264_wo_rw_run1,0
57,MG_15mM_1264_wo_rw_run1,0
58,MG_15mM_1264_wo_rw_run1,1
59,MG_15mM_1264_wo_rw_run1,1
60,MG_15mM_1264_wo_rw_run1,1
61,MG_15mM_1264_wo_rw_run1,0
62,MG_15mM_1264_wo_rw_run1,0
63,MG_15mM_1264_wo_rw_run1,0
64,MG_15mM_1264_wo_rw_run1,7
65,MG_15mM_1264_wo_rw_run1,7
66,MG_15mM_1264_wo_rw_run1,0
67,MG_15mM_1264_wo_rw_run1,0
68,MG_15mM_1264_wo_rw_run1,0
69,MG_15mM_1264_wo_rw_run1,1
70,MG_15mM_1264_wo_rw_run1,1
71,MG_15mM_1264_wo_rw_run1,0
72,MG_15mM_1264_wo_rw_run1,4
