Frame,minor_groove,major_groove,DNA_backbone,DNA_gap,histone_tail,histone_core,interface
2500,11,13,21,5,1,5,8
2525,11,14,18,8,2,5,8
2550,11,15,18,7,0,5,8
2575,10,15,15,10,1,5,11
2600,9,15,17,9,0,5,9
2625,10,17,17,9,1,5,9
2650,10,15,17,8,1,5,10
2675,8,16,18,8,1,5,10
2700,10,15,18,8,1,5,9
2725,10,15,22,6,2,5,7
2750,8,14,18,7,0,5,10
2775,7,14,18,5,2,6,9
2800,8,14,20,6,0,5,10
2825,8,14,19,6,1,6,10
2850,7,12,24,9,1,5,10
2875,7,12,24,7,1,6,10
2900,6,12,29,9,1,5,8
2925,7,12,23,9,2,5,11
2950,9,8,19,8,3,5,9
2975,9,9,23,8,1,5,10
3000,9,10,22,7,1,5,12
3025,9,14,20,8,0,5,8
3050,9,14,20,8,1,7,7
3075,10,13,19,7,3,7,9
3100,8,14,21,6,1,6,9
3125,10,13,21,7,0,6,10
3150,11,11,22,8,1,7,8
3175,9,13,21,8,0,7,10
3200,7,11,25,7,2,7,8
3225,8,14,20,9,1,7,8
3250,7,12,21,10,1,7,9
3275,8,11,24,9,1,7,8
3300,8,14,25,8,2,7,7
3325,6,10,29,10,4,8,7
3350,7,11,25,12,1,8,10
3375,9,9,25,11,2,7,7
3400,9,10,24,11,3,6,10
3425,9,8,26,10,1,6,12
3450,8,10,23,9,1,6,9
3475,6,10,28,13,2,6,9
3500,5,10,30,10,2,7,8
3525,4,11,28,11,2,7,9
3550,3,12,27,10,3,8,10
3575,3,11,26,9,4,8,8
3600,2,11,30,10,5,8,8
3625,4,11,21,12,4,9,11
3650,5,11,22,11,4,8,12
3675,4,11,24,10,3,9,10
3700,4,12,21,11,2,8,12
3725,4,13,24,11,2,7,9
3750,4,11,24,12,3,8,11
3775,4,11,29,13,3,7,8
3800,4,11,29,13,3,8,8
3825,4,11,30,12,4,7,7
3850,3,12,27,13,2,8,11
3875,2,13,31,13,2,8,9
3900,4,12,28,10,2,9,11
3925,4,13,29,12,2,7,11
3950,7,12,28,13,2,7,10
3975,8,11,26,14,1,7,11
4000,7,9,27,15,3,7,12
4025,7,11,27,15,2,8,10
4050,7,14,21,11,2,8,11
4075,7,15,26,12,1,7,11
4100,6,14,27,10,3,8,7
4125,7,11,26,12,3,8,9
4150,7,11,24,13,3,10,11
4175,7,13,21,13,2,10,11
4200,7,11,27,15,2,8,11
4225,7,11,23,14,3,9,13
4250,6,13,24,13,2,9,11
4275,7,14,21,13,2,9,11
4300,6,12,23,12,3,8,12
4325,7,11,24,13,1,9,13
4350,8,12,24,16,1,9,14
