Frame,minor_groove,major_groove,DNA_backbone,DNA_gap,histone_tail,histone_core,interface
2500,9,15,16,6,0,5,7
2525,11,15,13,4,1,4,7
2550,8,17,15,7,0,6,6
2575,10,17,15,4,0,6,4
2600,12,19,11,3,0,6,6
2625,10,19,12,6,0,7,4
2650,10,19,15,7,1,6,4
2675,11,18,15,7,2,6,3
2700,10,19,20,4,0,6,3
2725,9,20,18,6,1,6,4
2750,9,21,16,4,3,6,4
2775,9,18,17,7,0,5,6
2800,10,18,18,5,0,4,7
2825,10,18,19,7,0,4,6
2850,9,19,16,6,1,5,6
2875,8,20,20,7,0,6,6
2900,7,20,21,6,0,7,5
2925,8,17,19,5,0,7,5
2950,9,20,18,5,2,5,4
2975,8,22,19,6,1,5,3
3000,10,21,15,5,1,6,5
3025,11,22,19,8,0,5,6
3050,10,21,23,6,1,5,5
3075,12,20,18,5,0,5,8
3100,11,20,18,6,0,6,5
3125,13,21,18,4,0,5,6
3150,15,20,17,6,0,5,6
3175,13,19,17,4,0,5,9
3200,15,21,15,6,0,5,6
3225,13,20,20,5,1,5,6
3250,13,17,17,4,1,4,9
3275,14,20,13,4,0,5,7
3300,13,20,12,2,0,5,8
3325,13,20,16,2,1,5,9
3350,13,19,17,5,1,5,9
3375,11,20,20,6,0,6,9
3400,13,20,18,7,0,6,6
3425,14,18,16,8,0,6,8
3450,14,20,14,5,0,6,8
3475,14,18,15,7,0,4,10
3500,15,19,12,6,0,5,9
3525,13,18,17,7,1,5,11
3550,11,20,14,8,0,5,9
3575,12,20,17,8,0,5,7
3600,11,19,17,7,0,5,7
3625,12,20,15,7,0,6,6
3650,11,19,17,8,1,5,8
3675,13,18,18,6,0,6,6
3700,11,17,20,9,0,5,8
3725,12,20,17,12,1,6,5
3750,11,20,16,11,0,4,9
3775,12,18,18,8,1,6,7
3800,11,19,14,8,1,5,6
3825,13,17,17,7,0,5,9
3850,13,17,14,6,1,8,8
3875,12,21,15,5,1,5,8
3900,13,22,17,5,1,4,8
3925,14,21,13,5,0,4,12
3950,14,22,11,6,0,6,10
3975,12,21,16,6,0,7,6
4000,10,19,19,6,0,5,10
4025,9,21,18,6,1,5,10
4050,10,19,19,9,1,6,9
4075,12,20,22,6,2,8,4
4100,12,21,17,4,1,8,6
4125,12,22,15,7,1,7,7
4150,10,23,19,6,0,6,7
4175,11,22,14,9,0,6,8
4200,12,22,14,10,1,6,8
4225,13,21,16,7,1,6,6
4250,15,19,13,7,2,7,8
4275,16,19,16,8,2,7,7
4300,15,20,15,7,1,7,6
4325,15,20,14,8,2,6,9
4350,14,21,16,11,0,6,8
4375,14,19,16,8,0,5,10
4400,14,21,19,9,1,7,5
4425,11,23,15,9,1,6,9
4450,12,23,20,8,1,5,8
4475,13,21,20,8,0,5,12
4500,13,22,18,10,0,6,8
4525,12,22,19,10,2,5,10
4550,11,22,22,9,1,6,8
4575,13,21,22,7,1,6,8
4600,12,22,18,8,1,8,9
4625,11,23,19,8,0,6,10
4650,13,21,17,10,0,10,8
4675,15,21,15,8,1,8,10
4700,13,22,19,7,0,7,9
4725,14,22,21,8,1,9,8
4750,14,23,21,9,1,6,9
4775,16,24,19,7,1,7,8
4800,12,23,22,8,1,8,8
4825,13,24,24,10,1,8,7
4850,11,23,26,9,1,8,9
4875,11,24,21,10,0,8,9
4900,14,25,21,10,0,9,8
4925,12,22,24,10,0,7,10
4950,13,23,25,11,0,7,8
4975,14,19,24,13,0,8,13
5000,13,18,26,12,0,8,11
5025,16,19,25,10,0,7,11
5050,14,19,22,9,0,8,11
5075,15,19,21,9,0,8,12
5100,12,20,25,8,0,8,11
5125,13,19,27,8,0,8,9
5150,14,20,23,7,0,8,11
5175,16,21,22,8,0,9,7
5200,16,21,22,8,0,7,10
5225,16,18,23,8,0,7,10
5250,17,18,24,9,0,6,11
5275,16,20,22,8,0,7,10
5300,15,19,25,7,0,7,12
5325,14,19,22,10,0,6,12
5350,14,18,26,7,1,8,8
5375,15,17,24,7,1,8,12
5400,16,19,23,5,0,8,9
5425,14,18,23,8,2,8,9
5450,15,19,26,8,2,8,5
5475,13,21,22,8,2,10,6
5500,10,19,24,11,2,9,5
5525,11,18,19,10,1,6,13
5550,14,21,18,8,0,9,9
5575,13,18,19,12,0,12,11
5600,14,18,22,12,0,10,10
5625,13,17,21,13,0,10,12
5650,14,19,18,12,1,9,9
5675,12,16,18,10,1,10,11
5700,11,19,18,10,0,10,14
5725,13,19,16,12,2,8,12
5750,12,20,21,9,0,9,12
5775,14,20,17,9,0,9,14
5800,14,19,20,10,1,8,12
5825,12,21,22,11,1,9,10
5850,13,19,19,11,0,9,13
5875,13,20,20,10,0,9,12
5900,12,19,22,9,0,8,13
5925,13,20,20,11,0,9,10
5950,13,18,24,12,0,9,9
5975,13,18,18,11,0,8,14
6000,14,17,23,11,0,9,14
