Frame,minor_groove,major_groove,DNA_backbone,DNA_gap,histone_tail,histone_core,interface
2500,7,8,18,7,2,4,7
2525,8,9,16,8,2,4,7
2550,7,10,18,8,1,4,7
2575,8,7,17,8,1,4,8
2600,9,10,14,7,1,4,8
2625,7,11,18,7,1,2,9
2650,8,11,16,6,1,4,8
2675,6,10,16,6,1,3,10
2700,5,11,22,8,1,3,10
2725,6,11,20,10,1,5,9
2750,6,11,25,10,1,4,8
2775,6,11,20,10,1,4,10
2800,6,8,22,13,1,4,10
2825,5,11,24,11,2,6,6
2850,5,9,25,10,3,3,10
2875,6,11,25,10,2,5,7
2900,7,10,20,13,2,4,11
2925,7,10,23,11,4,4,8
2950,6,12,21,11,3,3,11
2975,8,9,20,12,2,2,13
3000,9,8,21,12,2,3,12
3025,8,11,21,10,2,3,9
3050,8,11,18,9,2,4,13
3075,7,9,23,10,3,4,10
3100,9,9,21,11,2,4,11
3125,9,8,20,9,1,3,16
3150,8,9,22,7,2,4,11
3175,9,11,17,7,3,3,14
3200,7,12,18,9,3,3,12
3225,7,11,23,8,3,3,13
3250,7,12,22,8,3,5,10
3275,8,14,21,7,3,3,10
3300,8,16,22,8,3,3,10
3325,8,13,15,6,2,3,16
3350,7,12,17,7,3,3,16
3375,6,14,16,8,5,6,13
3400,5,13,19,9,2,5,17
3425,7,10,23,7,3,4,12
3450,8,14,18,7,4,3,13
3475,8,14,16,7,3,2,17
3500,8,14,18,9,3,2,15
3525,8,12,18,8,3,2,15
3550,7,14,17,9,1,2,17
3575,7,12,15,9,1,2,21
3600,9,14,15,11,1,3,18
3625,9,10,18,13,1,4,17
3650,7,10,23,9,0,4,18
3675,8,12,24,10,1,4,14
3700,8,14,20,9,0,4,13
3725,7,14,22,9,0,3,15
3750,5,12,26,8,0,4,14
3775,5,12,21,12,1,6,14
3800,7,13,22,11,0,5,14
3825,8,14,18,9,1,5,13
3850,7,16,18,11,2,5,13
3875,7,15,19,11,1,6,12
3900,8,18,19,10,0,7,13
3925,7,20,16,11,1,4,14
3950,6,17,21,12,2,6,13
3975,5,16,23,12,1,5,16
4000,5,15,24,12,0,6,14
4025,6,16,21,10,3,9,10
4050,5,14,25,14,2,11,9
4075,6,12,28,13,0,8,12
4100,6,14,24,14,2,8,14
4125,4,14,25,14,1,9,12
4150,4,15,24,15,1,7,13
4175,4,16,24,14,0,7,12
4200,5,17,22,12,1,9,10
4225,4,16,24,9,1,9,12
4250,6,17,20,7,1,6,14
4275,8,14,22,9,1,4,17
4300,7,14,24,9,1,6,15
4325,7,15,22,9,1,7,15
4350,7,15,22,8,2,9,12
4375,4,15,25,9,2,8,14
4400,5,14,22,8,3,6,15
4425,6,13,22,11,2,6,17
4450,6,17,22,7,3,5,15
4475,6,17,19,11,2,6,16
4500,6,13,21,9,3,6,16
4525,4,11,26,12,3,7,14
4550,5,13,25,12,2,9,13
4575,5,12,26,9,3,9,12
4600,5,13,24,13,1,7,16
4625,5,14,23,11,2,9,14
4650,7,11,26,10,4,8,12
4675,7,12,24,12,2,11,12
4700,7,11,24,12,1,8,14
4725,6,15,22,12,3,9,13
4750,7,15,24,11,2,8,13
4775,5,13,22,8,3,8,15
4800,4,15,22,12,2,9,14
4825,4,14,24,10,3,8,13
4850,5,11,25,11,1,8,15
4875,6,15,23,12,2,8,15
4900,5,13,25,10,2,10,11
4925,4,13,25,9,2,8,16
4950,6,12,26,13,3,11,13
4975,6,11,23,11,2,8,17
5000,6,13,23,11,3,7,17
5025,4,10,26,12,3,7,16
5050,6,12,24,12,3,7,16
5075,5,14,23,11,4,9,15
5100,5,15,22,9,2,7,17
5125,5,12,26,9,3,7,16
5150,6,14,27,13,3,8,12
5175,5,12,30,12,2,7,15
5200,5,11,26,12,2,10,14
5225,6,11,30,9,3,7,13
5250,6,13,26,10,1,8,14
5275,6,12,32,11,2,11,11
5300,7,10,32,10,3,9,13
5325,6,11,32,11,3,11,11
5350,5,13,31,8,3,11,12
5375,5,10,30,10,3,11,14
5400,6,11,26,9,3,10,12
5425,6,11,30,9,2,9,14
5450,7,10,25,11,4,11,13
5475,8,10,25,11,2,9,14
5500,8,11,27,10,4,9,12
5525,9,10,28,11,3,10,13
5550,7,8,29,11,5,11,15
5575,9,10,28,12,4,11,12
5600,10,11,26,12,3,11,13
5625,9,12,24,11,3,9,15
5650,6,13,28,10,5,9,14
5675,6,14,26,11,2,9,17
5700,5,12,29,10,3,9,16
5725,6,12,27,8,4,10,18
5750,7,14,27,9,2,10,13
5775,6,13,28,10,3,10,18
5800,6,15,27,10,2,9,16
5825,5,14,25,11,4,9,17
5850,5,15,25,13,3,9,17
5875,6,14,29,14,3,9,15
5900,8,15,24,12,4,9,18
5925,7,9,31,13,4,9,18
5950,9,13,25,13,2,8,17
5975,9,15,20,12,1,9,20
6000,7,13,30,14,3,7,14
6025,8,11,31,16,2,9,16
6050,7,12,31,16,1,9,16
6075,8,15,24,15,2,10,17
6100,8,13,31,16,2,10,16
6125,9,11,30,16,1,9,16
6150,10,12,27,16,3,10,15
6175,9,11,35,17,2,11,13
6200,10,11,27,18,3,11,15
6225,8,13,30,17,3,12,16
6250,8,11,32,17,3,12,15
6275,8,9,32,17,3,11,16
6300,9,12,27,17,2,11,19
6325,9,12,26,17,4,13,16
6350,9,14,20,15,3,13,18
6375,6,14,27,15,3,11,16
6400,4,14,27,14,2,12,17
6425,5,12,28,14,1,12,15
6450,6,12,28,15,2,12,13
6475,7,12,30,14,1,12,13
6500,6,11,30,16,3,10,12
6525,8,13,33,16,3,11,8
6550,7,13,31,17,2,9,13
6575,7,11,30,17,1,9,17
6600,7,15,27,17,2,9,14
6625,7,9,33,21,2,11,14
6650,7,11,32,20,3,11,12
6675,6,14,36,19,2,11,10
6700,6,10,34,17,2,10,12
6725,5,17,30,16,2,10,13
6750,6,14,26,16,2,10,14
6775,7,12,34,17,2,10,11
6800,6,15,27,17,3,9,13
6825,6,16,29,14,1,9,13
6850,7,16,29,17,3,11,10
6875,7,13,28,21,1,12,13
6900,7,13,28,18,2,12,10
6925,7,12,26,15,3,12,11
6950,8,11,32,20,3,12,10
6975,9,13,26,17,4,13,10
7000,9,12,24,17,4,13,13
7025,10,13,26,19,2,12,13
7050,11,14,25,18,2,12,12
7075,9,12,23,17,2,11,15
7100,7,13,26,17,1,12,12
7125,6,12,23,16,5,12,12
7150,6,14,22,17,3,12,12
7175,7,14,21,15,4,14,9
7200,8,12,22,14,5,13,11
7225,8,14,18,16,4,11,13
7250,8,13,21,17,4,12,12
7275,8,14,18,16,4,13,12
7300,9,14,20,16,5,10,14
7325,9,10,24,17,6,9,12
7350,10,9,21,17,5,13,12
7375,9,9,18,18,6,13,11
7400,7,12,20,16,7,14,10
7425,6,10,19,17,3,13,16
7450,7,11,20,16,3,12,14
7475,7,11,19,16,3,12,15
7500,7,11,22,16,2,13,14
7525,8,10,22,16,1,12,16
7550,6,13,18,17,1,13,15
7575,8,14,19,16,0,12,16
7600,8,15,13,16,1,13,14
7625,8,16,15,16,1,16,13
7650,8,15,17,17,1,14,14
7675,5,12,23,18,2,13,14
7700,6,12,20,17,2,14,14
7725,8,10,17,19,1,13,19
7750,4,13,20,18,0,14,17
7775,6,14,19,17,1,14,16
7800,6,13,18,19,1,14,16
7825,5,14,18,17,1,13,18
7850,4,15,18,16,1,13,19
7875,5,14,18,16,3,14,17
7900,7,14,15,15,2,12,20
7925,5,15,18,15,2,12,17
7950,5,16,19,16,3,11,18
7975,5,17,17,16,4,14,15
8000,5,15,13,15,2,15,15
8025,5,16,15,14,1,13,18
8050,5,16,17,14,2,13,17
8075,5,14,18,16,2,15,17
8100,5,12,20,16,1,13,20
8125,4,13,21,17,1,13,18
8150,4,12,17,18,0,13,19
8175,4,11,22,18,0,11,19
8200,4,13,17,16,2,14,19
8225,4,11,20,18,1,12,20
8250,4,12,20,19,0,12,19
8275,4,11,21,16,1,12,18
8300,4,10,20,16,4,13,17
8325,4,13,18,18,0,14,19
8350,5,12,20,17,1,13,18
8375,6,12,19,18,0,12,20
8400,6,14,16,19,2,12,19
8425,6,12,22,18,0,12,19
8450,6,13,19,18,0,11,21
8475,7,13,16,16,1,13,18
8500,7,14,16,16,2,13,17
8525,6,14,18,15,1,14,18
8550,6,15,20,17,1,13,17
8575,5,14,20,16,2,14,16
8600,7,13,20,17,2,13,17
8625,7,13,21,16,3,13,16
8650,7,15,19,18,4,13,16
8675,6,13,22,14,3,13,13
8700,6,14,22,17,4,13,13
8725,7,15,16,14,3,12,15
8750,7,16,17,15,3,13,13
8775,6,16,16,16,5,13,16
8800,7,13,18,14,4,12,14
8825,6,15,20,13,4,12,15
8850,8,16,15,14,4,12,15
8875,7,14,19,14,4,12,16
8900,6,15,17,15,2,11,21
8925,7,12,20,14,3,12,18
8950,6,13,23,15,2,12,17
8975,8,15,17,13,3,12,17
9000,9,13,19,12,5,12,15
9025,7,14,21,13,4,13,15
9050,8,14,19,13,3,16,15
9075,8,11,23,17,3,12,18
9100,9,11,20,15,3,11,20
9125,9,12,20,12,4,12,17
9150,8,12,21,13,4,12,16
9175,9,11,18,15,3,12,23
9200,8,11,19,19,1,12,23
9225,8,11,22,19,2,12,18
9250,10,11,18,16,5,15,14
9275,7,12,25,16,2,14,17
9300,7,13,23,13,1,13,17
9325,7,12,24,15,3,15,15
9350,8,14,22,15,2,14,16
9375,7,16,20,13,2,15,16
9400,7,13,25,15,3,17,13
9425,7,16,23,14,1,14,18
9450,7,14,24,15,1,13,17
9475,7,14,22,15,2,12,19
9500,7,15,22,15,1,14,18
9525,5,16,22,14,1,13,18
9550,4,17,24,15,0,14,17
9575,5,16,22,14,0,12,19
9600,5,17,18,12,3,12,19
9625,6,18,19,12,0,13,19
9650,8,15,16,15,1,13,18
9675,8,18,17,14,1,13,16
9700,7,15,18,13,0,12,21
9725,7,17,18,11,2,16,16
9750,8,14,16,16,0,15,19
9775,6,15,21,16,0,14,19
9800,9,16,20,12,0,14,20
9825,9,17,18,12,0,13,20
9850,8,20,18,10,0,14,19
9875,8,16,18,12,2,14,19
9900,7,17,22,15,0,13,19
9925,7,17,19,13,0,13,22
9950,8,19,18,13,1,12,21
9975,10,19,19,14,2,15,18
10000,8,17,22,16,0,12,24
10025,9,14,21,14,0,12,21
10050,9,16,20,14,1,11,21
10075,10,17,20,14,0,12,21
10100,8,19,16,11,1,13,20
10125,8,18,19,13,1,11,21
10150,7,16,22,14,1,13,20
10175,7,17,19,15,1,14,19
10200,8,19,18,14,0,11,22
10225,8,16,20,15,0,11,23
10250,9,15,20,13,0,12,19
10275,7,14,21,17,1,10,22
10300,7,12,25,14,1,12,19
10325,8,13,25,15,0,10,20
10350,7,14,27,15,0,13,18
10375,8,14,21,15,0,11,24
10400,8,13,22,14,0,10,23
10425,8,15,20,13,0,13,19
10450,10,16,16,14,0,11,20
10475,10,14,21,14,0,11,20
10500,8,15,23,14,2,11,19
10525,8,16,19,15,1,9,22
10550,8,14,23,14,1,11,19
10575,7,15,25,18,1,12,17
10600,7,14,19,14,1,10,21
10625,6,12,25,16,2,11,20
10650,7,14,22,15,3,10,19
10675,6,14,24,15,0,9,22
10700,8,14,20,17,0,8,23
10725,6,14,25,16,1,8,21
10750,6,14,25,16,0,9,23
10775,6,20,20,14,0,10,21
10800,9,17,18,11,0,11,22
10825,9,16,21,12,2,8,21
10850,8,15,22,12,2,9,21
10875,7,17,21,12,1,10,20
10900,9,16,19,12,1,10,20
10925,10,15,20,13,2,9,22
10950,9,15,16,13,1,11,20
10975,8,13,17,14,2,11,20
11000,8,13,20,15,0,10,23
11025,8,13,24,16,1,9,23
11050,7,14,23,14,2,10,22
11075,7,13,25,14,3,11,19
11100,6,15,23,14,2,12,19
11125,7,13,21,15,2,12,21
11150,7,14,22,15,0,11,22
11175,6,14,25,16,0,11,21
11200,7,14,24,17,0,13,18
11225,7,14,24,15,0,11,20
11250,5,16,26,17,0,8,22
11275,8,18,19,14,3,8,21
11300,9,14,21,13,2,9,23
11325,10,13,21,13,2,9,20
11350,9,15,17,14,2,10,20
11375,8,14,26,15,3,11,15
11400,10,13,23,16,2,10,20
11425,10,16,22,16,3,10,16
11450,11,12,20,14,1,10,20
11475,10,12,21,15,1,9,20
11500,9,15,19,15,1,9,20
11525,8,12,21,15,2,10,19
11550,10,15,20,14,1,9,21
11575,11,15,15,13,3,11,19
11600,12,15,16,14,2,11,17
11625,12,15,15,12,1,12,17
11650,10,16,17,11,1,11,19
11675,9,14,18,15,0,10,22
11700,9,13,20,15,1,13,20
11725,8,14,23,16,0,14,18
11750,9,13,20,14,1,14,18
11775,8,14,21,18,0,14,20
11800,6,13,21,18,1,14,20
11825,11,14,16,16,1,16,18
11850,8,12,19,17,3,15,18
11875,9,11,19,16,2,12,23
11900,8,11,22,17,2,14,18
11925,8,9,21,16,2,13,20
11950,9,12,21,17,0,13,21
11975,7,11,20,16,2,13,19
12000,8,10,23,18,1,12,22
12025,8,11,23,18,1,15,17
12050,8,9,24,20,1,14,19
12075,9,9,28,18,1,13,18
12100,8,12,21,18,0,14,23
12125,8,13,17,19,1,14,21
12150,8,14,22,17,0,11,22
12175,8,16,20,15,1,13,19
12200,7,15,22,14,1,11,21
12225,7,18,21,15,0,14,20
12250,7,15,23,15,1,13,20
12275,8,15,23,16,1,13,19
12300,7,14,26,13,2,13,18
12325,7,15,24,17,1,15,19
12350,6,15,22,15,3,13,20
12375,6,13,26,17,1,12,19
12400,7,17,23,15,1,12,19
12425,7,14,23,17,1,13,19
12450,7,14,23,13,1,15,20
12475,7,17,20,13,1,13,22
